metal,conc,Mean_r,SE_r,Mean_OD,SE_OD,Mean_changeOD,trial
CdNi,2,0.11299992608478543,0.008073305148095991,0.8184999999999999,0.012320188190000879,0.8300000000000001,one
CdNi,3,0.06716572759080108,0.0075543027173365215,0.3863888888888889,0.060620429062759745,0.39966666666666667,one
CdNi,4,0.040789382538264356,0.008116646816158996,0.02927777777777779,0.007024647963588334,0.058666666666666666,one
CdNi,5,0.027122787401208843,0.007667665215193278,0.01877777777777778,0.0020237784000096625,0.04733333333333334,one
CdZn,1,0.15056789291848874,0.020026874730509577,1.0321666666666667,0.02595419754818809,1.046,one
CdZn,2,0.08901774588935632,0.011375607452890377,0.4980555555555556,0.06534554402143108,0.5183333333333333,one
CdZn,3,0.04583684473831913,0.0078292456457602,0.09555555555555556,0.015477682060803175,0.10266666666666667,one
CdZn,4,0.03980932078428978,0.00521791716432157,0.040166666666666656,0.005921555101053686,0.102,one
CdZn,5,0.023659223002958637,0.0125732010366697,0.00683333333333334,4.999999999999982e-4,0.07033333333333333,one
Co,1,0.28233811831257505,0.0022214031059064605,1.358,0.015166666666666662,1.3664999999999998,one
Co,2,0.24849117853109615,0.007126932174972302,1.3324166666666668,0.04925000000000001,1.3535,one
Co,3,0.11822104807324152,0.012700627816109039,1.1075833333333334,0.02741666666666664,1.1280000000000001,one
Co,4,0.09790844905099848,0.004244002907438649,0.7241666666666666,0.0029999999999999467,0.742,one
Co,5,0.024123020836430697,0.00712825786175486,0.025999999999999995,0.007833333333333331,0.03249999999999999,one
CoCu,1,0.024896646348230668,0.008137436859891779,0.036444444444444446,0.006280726937560462,0.09766666666666667,one
CoCu,2,0.019651826081249858,0.006802887059015688,0.009833333333333324,0.001417483424685889,0.056333333333333326,one
CoCu,3,0.009158135301963927,0.0032552699255027745,0.011833333333333343,0.0030015428131644644,0.06766666666666667,one
CoCu,4,0.012811473744841114,0.0026250408710940705,0.013333333333333336,0.0026475005683208462,0.058,one
CoCu,5,0.016239897833910295,0.00483333584066341,0.030000000000000016,0.004191039825009396,0.08766666666666666,one
CoMn,1,0.22361746380428202,0.005027493391041027,1.3243333333333334,0.011166666666666545,1.35,one
CoMn,2,0.13418958583015042,0.005913706106458893,1.159388888888889,0.012307154398264224,1.1873333333333334,one
CoMn,3,0.08277227153870766,0.005585454711885224,0.7519444444444444,0.020189916197185714,0.764,one
CoMn,4,0.07279319994557552,0.013381312041063216,0.5092222222222222,0.011908732142195809,0.5276666666666667,one
CoMn,5,0.019710403442729785,0.0026160528850896845,0.02705555555555556,0.004505483627320088,0.042666666666666665,one
CoNi,1,0.09564404488589712,0.00407716738412752,0.5573888888888889,0.02133600967008534,0.5836666666666667,one
CoNi,2,0.05968359295671632,0.0030438031259937153,0.03494444444444444,0.0032379882490884064,0.07233333333333332,one
CoNi,3,0.0501125472155787,0.0024296774354261065,0.034222222222222216,0.001402158829347104,0.07966666666666668,one
CoNi,4,0.07117839198415392,0.0015245869664826457,0.04983333333333335,0.002682246156571858,0.12633333333333335,one
CoNi,5,0.04336056508291719,0.01794619651045407,0.014055555555555562,0.0013064417795894206,0.052000000000000005,one
CoZn,1,0.04797867661313996,0.015887437917223537,0.056499999999999995,0.012921056601675572,0.08166666666666667,one
CoZn,2,0.052577385697046466,0.002209656300957874,0.05188888888888889,0.014079908634664283,0.08533333333333333,one
CoZn,3,0.05317792264684466,0.005957436845497288,0.059944444444444446,0.005884956758497265,0.10966666666666666,one
CoZn,4,0.03841434079721039,0.011409226210518271,0.041222222222222236,0.004882255600958062,0.087,one
CoZn,5,0.023225528370899674,0.009664232731587378,0.02916666666666667,0.0061131309793239635,0.06033333333333334,one
Cu,1,0.24889963930185832,0.010777065592715308,1.3645833333333335,0.07791666666666663,1.3745,one
Cu,2,0.19869424666141275,0.01864968537934608,1.01125,0.03958333333333341,1.032,one
Cu,3,0.16597436266474475,0.005703743344298558,0.83625,0.0025833333333332704,0.8505,one
Cu,4,0.185354965503981,0.018880360092010648,0.8521666666666667,0.0588333333333334,0.8775,one
Cu,5,0.023566772544558745,0.018754409536470004,0.035916666666666694,0.021583333333333326,0.076,one
CuMn,1,0.25292494995980225,0.0020627621888189263,1.4362222222222223,0.019647432527897163,1.447,one
CuMn,2,0.23084006368264315,0.006394725959421914,1.242,0.011168324918334019,1.258,one
